,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_title,ltable_author,rtable_title,rtable_author,label
122,122,122,a15,b1521,Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,Harry Potter and the Sorcerer's Stone,J.K. Rowling and ,0
384,384,384,a370,b2020,Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,Harry Potter And The Order Of The Phoenix,J.K. Rowling and ,1
31,31,31,a111,b963,The Perks of Being a Wallflower,Stephen Chbosky,Stephen Curry: Never Give Up. A Boy Who Became a Star. Inspiring Children Book About One of the Best Basketball Players in History.,Stephen Herman,0
269,269,269,a2328,b995,Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist 1968-1976,Hunter S. Thompson,The Best Boring Book Ever of Select Healthcare Classification Systems and Databases,Katherine S. Rowell and ,0
129,129,129,a15,b2997,Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,Harry Potter and the Half-Blood Prince (Book 6),J.K. Rowling,0
349,349,349,a300,b1012,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,The Million Dollar Decision: Get Out of the Rigged Game of Investing and Add a Million to Your Net Worth,Robert Rolih,0
156,156,156,a1740,b1114,Coinman: An Untold Conspiracy,Pawan Mishra,Coinman: An Untold Conspiracy,Pawan Mishra,1
166,166,166,a1826,b1551,The Dark Tower Series Collection: The Gunslinger The Drawing of the Three The Waste Lands Wizard and Glass Wolves of the Calla Song of Susannah The Dark Tower,Stephen King,The Illustrated Brief History of Time Updated and Expanded Edition,Stephen William Hawking,0
183,183,183,a1938,b688,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny Lawson,1
505,505,505,a7,b2978,The Little Prince,Antoine de Saint-Exupéry,The Little Prince,Antoine de Saint-Exupry,1
491,491,491,a624,b1306,The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,1
21,21,21,a107,b1750,A Wrinkle in Time (A Wrinkle in Time Quintet #1),Madeleine L'Engle,A Wrinkle in Time: 50th Anniversary Commemorative Edition (A Wrinkle in Time Quintet),Madeleine L'Engle,1
219,219,219,a2087,b1632,The Forest of Hands and Teeth (The Forest of Hands and Teeth #1),Carrie Ryan,The Daily Stoic: 366 Meditations on Wisdom Perseverance and the Art of Living,Ryan Holiday and ,0
100,100,100,a1397,b360,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,The Case of the Missing Call Girl: A Callie Ryden Mystery (Callie Ryden Mysteries Book 1),L. B. Love,0
297,297,297,a2494,b1702,Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,Martha's Flowers: A Practical Guide to Growing Gathering and Enjoying,Martha Stewart and ,0
96,96,96,a1397,b1008,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,The National Parks of the United States: A Photographic Journey,Andrew Thomas,0
42,42,42,a1173,b320,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,The Man Who Could Be King: A Novel,John Ripin Miller,0
410,410,410,a43,b1679,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter Book 1),J.K. Rowling and ,0
90,90,90,a1326,b1015,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables #1-8),L.M. Montgomery,Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),Lucy Maud Montgomery,1
463,463,463,a531,b2980,Prince Caspian (Chronicles of Narnia #2),C.S. Lewis,"The Lion, the Witch and the Wardrobe (The Chronicles of Narnia)", C. S. Lewis,0
25,25,25,a1081,b660,Hotel on the Corner of Bitter and Sweet,Jamie Ford,Black Cat 2-1: The True Story of a Vietnam Helicopter Pilot and His Crew,Bob Ford,0
391,391,391,a393,b160,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics #1),Steven D. Levitt,The Diagnosis is Murder (A Dr. Valorian Mystery Book 1),Steven Gossington,0
322,322,322,a27,b1933,Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,Harry Potter and the Prisoner of Azkaban,J.K. Rowling and ,1
248,248,248,a226,b2993,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1
210,210,210,a2038,b1306,A Swiftly Tilting Planet (A Wrinkle in Time Quintet #3),Madeleine L'Engle,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,0
257,257,257,a2292,b2993,The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1
276,276,276,a2387,b381,THE DIARY OF A CANADIAN NOBODY,Arthur Paul James,Going Home: A Novel of the Civil War,James D. Shipman,0
518,518,518,a778,b1414,Fox in Socks,Dr. Seuss,Dr. Seuss's Beginner Book Collection (Cat in the Hat One Fish Two Fish Green Eggs and Ham Hop on Pop Fox in Socks),Seuss,1
